זיהוי תחנה,שם עברית,שם אנגלית,שם קודם,תאריך הקמה,שטח היקוות (קמר),X .נ.צ,Y .נ.צ,קשר עם תחנה קודמת,תחום התנקזות ראשי,סטטוס תחנה
1102,בצת-כביש 4,BEZET- ROAD 4,כרכרה,27/01/2015,102,211086,775565,,בצת,לא פעילה
1105,בצת - ע''י אילון,BEZET - NEAR AYYALON,,01/10/1949,71,221150,775650,1106,בצת,לא פעילה
1106,בצת - ע''י חורבת כרכרה,BEZET - NEAR AYYALON,,01/10/1944,71,220950,775350,,בצת,לא פעילה
2105,כזיב - גשר הזיו,KEZIV - HAZIV BRIDGE,כביר,01/10/1966,130,210315,772922,,כזיב,פעילה
2106,כזיב - גשר הרכבת,KEZIV - RAILWAY BRIDGE, כביר,01/10/1944,131,210100,772800,2105,כזיב,לא פעילה
2150,כזיב - במעלה עין חרדלית,KEZIV,,01/10/1951,,217750,772010,,כזיב,לא פעילה
2151,כזיב - במורד עין חרדלית,KEZIV,,01/10/1932,,217650,772050,,כזיב,לא פעילה
2155,כזיב - ע''י חורבת מנוות,KEZIV,,01/10/1949,,216640,771980,,כזיב,לא פעילה
2160,כזיב - בתעלת מנוות,KEZIV,,01/10/1932,,214070,772130,,כזיב,לא פעילה
2165,כזיב - בסוף התעלה,KEZIV,,01/10/1946,,212370,771710,,כזיב,לא פעילה
3110,שעל -קיבוץ סער,SHA'AL- SA'AR QIBUTZ,,27/01/2015,16,211618,770642,,שעל,לא פעילה
4102,געתון - בגשר הכביש ליחיעם,GA'ATON,,01/10/1949,19,216600,768750,,געתון,לא פעילה
4105,געתון - ע''י כברי,GA'ATON,,01/10/1951,33,214660,768030,4106,געתון,לא פעילה
4106,געתון - ע''י כביש עמקה,GA'ATON - NEAR EMEQ RD.,,01/10/1952,34,213960,768030,,געתון,לא פעילה
4110,געתון - בן עמי,GA'TON - BEN 'AMMI,,01/10/1968,37,212553,767197,,געתון,פעילה
4115,געתון - ע''י נהריה,GA'ATON - NAHARIYA,,01/10/1944,48,209130,767980,,געתון,לא פעילה
5105,בית העמק - ע''י הכביש לעמקה,BET HA'EMEQ - NEAR EMEQ RD.,,01/10/1957,58,214100,765770,,בית העמק,לא פעילה
5109,בית העמק - כביש חיפה-נהריה,BET HA'EMEQ - HAIFA-NAHARIYA RD.,,01/10/1998,71,209280,765640,,בית העמק,לא פעילה
5110,בית העמק - שבי ציון,BET HA'EMEQ - SHAVE ZIYYON,ואדי מג'נונה,01/10/1944,68,208421,765429,,בית העמק,פעילה
6110,יסף-במורד אמת המים,YASAF-DOWNSTREAM  THE WATER METER,,01/10/2012,65,209128,762590,,יסף,לא פעילה
7105,חלזון - עי יסעור,HILLAZON - YAS-UR,חלזון - עי בידווה,01/10/1943,163,217498,755643,,נעמן,פעילה
7130,נעמן - ע''י בריכות אפק,NA'AMAN,,01/10/1952,,210230,751780,,נעמן,לא פעילה
7135,נעמן - באפיק הישן,NA'AMAN,,01/10/1952,,210240,753460,,נעמן,לא פעילה
7140,נעמן - ע''י כפר מסריק,NA'AMAN,,01/10/1952,,210300,754660,,נעמן,לא פעילה
7145,נעמן - בגשר לבריכות הדגים,NA'AMAN,,01/10/1943,320,209940,756700,,נעמן,לא פעילה
7150,נעמן - .בגשר ק.ק.ל,NA'AMAN,,01/10/1943,325,209430,757440,,נעמן,לא פעילה
7190,נעמן - בגשר הרכבת,NA'AMAN,,01/10/1947,,208100,757400,,נעמן,לא פעילה
7192,נעמן - בשפך לים,NA'AMAN,,01/10/1952,,207950,757300,,נעמן,לא פעילה
8101,קישון - בגשר הרכבת,QISHON,,01/10/1962,95,226850,710650,,קישון,לא פעילה
8102,קסלן - ע''י מוקבליה,,,01/10/1953,,227660,713510,,קישון,לא פעילה
8103,קישון - ע''י מוקבילה,QISHON,,01/10/1953,,226440,714030,,קישון,לא פעילה
8105,קישון - (ע:י כפר ברוך (מאגר,QISHON,,01/10/1953,,219000,727000,,קישון,לא פעילה
8106,זבדון - בכביש הסרגל,,,01/10/1962,32,221750,713980,,קישון,לא פעילה
8108,עוז - ע''י גבעת עוז,,,01/10/1953,,219050,718100,,קישון,לא פעילה
8109,נענק - בכביש הסרגל,,"ואדי ג'מוס ע""י כביש הסרגל",01/10/1953,,223800,722300,,קישון,לא פעילה
8110,קישון - בכביש הסרגל,QISHON,,01/10/1953,,224500,722620,,קישון,לא פעילה
8111,עדשים - ע''י בלפורה,,מרבי,01/10/1953,,227500,726500,,קישון,לא פעילה
8112,קישון - מאגר כפר ברוך,QISHON - KEFAR BARUCH RESERVOIR,,01/10/1953,468,219100,726850,,קישון,לא פעילה
8114,בענא - ע''י גבעת עוז,,אום ערקוף,01/10/1953,,218800,718800,,קישון,לא פעילה
8116,מדרך,,אבו ערקוב,01/10/1959,,215510,723030,,קישון,לא פעילה
8118,משמר - 9 במורד תעלה,MISHMAR,,01/10/1960,,215050,724700,,קישון,לא פעילה
8119,משמר - ע''י מגרש הספורט,MISHMAR,,01/10/1960,,213220,724130,,קישון,לא פעילה
8120,גחר - בתעלה 8 במורד נחלאות,GHAR,קאסב,01/10/1960,,214300,726500,,קישון,לא פעילה
8121,קישון - ע''י כפר ברוך,QISHON,,01/10/1951,,218240,727060,,קישון,לא פעילה
8122,גחר - ע''י המנהרה,GHAR,קאסב,01/10/1961,,211750,725380,,קישון,לא פעילה
8123,גחר - בכביש למגידו,GHAR,קאסב,01/10/1953,,212700,725900,,קישון,לא פעילה
