תחנת גשם,נחל,מינימום זמן ליצירת שטפון,מקסימום זמן ליצירת שטפון
פארן,ציחור,4,6
פארן,פארן - כביש הערבה,4,6
פארן,חיון - כביש 40,4,6
פארן,ערוד,4,6
פארן,יעלון - קיבוץ יהל,4,6
mizpe_ramon,רמון,0,2
mizpe_ramon,נקרות - עליון,8,12
mizpe_ramon,צין  עליון - עבדת,4,6
mizpe_ramon,ערוד,4,6
mizpe_ramon,נקרות - כביש הערבה,12,16
mizpe_ramon,הערבה-עין יהב,12,16
avdat,צין עליון - עבדת,0,2
avdat,צין  - עבדת,0,2
avdat,צין-במעלה מפל,0,2
avdat,צין - מפל,0,2
sede_boker,צין - משוש,4,6
sede_boker,צין- כביש הערבה,16,20
sede_boker,בשור-כביש נצנה החדש,4,6
sede_boker,בשור - כביש ניצנה,4,6
arad,חימר - במורד המצוק,4,6
arad,רחף,2,4
arad,צאלים,8,12
beer_sheva,באר שבע - חצרים,2,4
beer_sheva,בשור - רעים,12,16
beer_sheva,גרר - רעים,12,16
